ID,date,sjje_per_month,month_amount,year_amount
2022002.0,2018-01,1215505.6666666667,97440295.0,1238262159.0
2022002.0,2018-02,472502.6666666667,97732400.0,97732400.0
2022002.0,2018-03,524852.6666666666,60087323.0,157819723.0
2022002.0,2018-04,703647.0,98816315.0,256636038.0
2022002.0,2018-05,753157.0,112146711.0,368782749.0
2022002.0,2018-06,7368336.0,117589729.0,486372478.0
2022002.0,2018-07,2092190.6666666665,33904483.666666664,196028643.0
2022002.0,2018-08,2124146.6666666665,111247163.0,699287097.0
2022002.0,2018-09,2994399.6666666665,113663474.0,812950571.0
2022002.0,2018-10,677639.3333333333,84748628.0,897699199.0
2022002.0,2018-11,726531.3333333334,85787984.0,983487183.0
2022002.0,2018-12,1016465.3333333334,77202554.0,1060689737.0
2022002.0,2019-01,902631.3333333334,58867427.0,1119557164.0
2022002.0,2019-02,402845.3333333333,76642192.0,76642192.0
2022002.0,2019-03,324846.3333333333,45078322.0,121720514.0
2022002.0,2019-04,394395.0,71936029.0,193656543.0
2022002.0,2019-05,355966.0,63141547.0,256798090.0
2022002.0,2019-06,244504.0,63929874.0,320727964.0
2022002.0,2019-07,248534.33333333334,60438068.0,381166032.0
2022002.0,2019-08,395595.3333333334,63173460.0,444339492.0
2022002.0,2019-09,170291.3333333333,70595348.0,514934840.0
2022002.0,2019-10,216254.66666666666,74226794.0,589161633.0
2022002.0,2019-11,535907.6666666666,68676122.0,657837755.0
2022002.0,2019-12,167239.66666666666,72181785.0,730019541.0
2022002.0,2020-01,205508.66666666666,63808033.0,793827573.0
2022002.0,2020-02,491717.6666666666,42132607.0,42132607.0
2022002.0,2020-03,162799.6666666667,13623804.0,55756411.0
2022002.0,2020-04,192731.6666666667,44040285.0,99796695.0
2022002.0,2020-05,10313694.666666666,76794325.0,176591020.0
2022002.0,2020-06,618035.6666666666,84120793.0,260711813.0
2022002.0,2020-07,401587.6666666667,98404813.0,359116626.0
2022002.0,2020-08,568633.6666666666,85076563.0,444193189.0
2022002.0,2020-09,168253.6666666667,66227321.0,510420510.0
2022002.0,2020-10,165638.0,68308084.0,578728595.0
2022002.0,2020-11,548413.0,50475341.0,629203936.0
2022002.0,2020-12,172013.0,68571407.0,697775343.0
2022002.0,2021-01,1256938.6666666667,76875691.0,774651034.0
2022002.0,2021-02,520144.6666666666,70287838.0,70287838.0
2022002.0,2021-03,245566.66666666666,44131011.0,114418850.0
2022002.0,2021-04,2801910.3333333335,79318005.0,193736855.0
2022002.0,2021-05,658893.3333333334,86180665.0,279917520.0
2022002.0,2021-06,305597.3333333333,79205809.0,359123329.0
2022002.0,2021-07,287951.0,79568670.0,438692000.0
2022002.0,2021-08,837961.0,86243185.0,524935185.0
2022002.0,2021-09,400233.0,87594127.0,612529312.0
2022002.0,2021-10,432171.6666666666,90889736.0,703419048.0
2022002.0,2021-11,707631.6666666666,82178870.0,785597917.0
2022002.0,2021-12,481724.6666666666,103944715.0,889542632.0
2022003.0,2018-01,222420.0,2408904.0,35399933.0
